20,46,205,1,1
20,46,101,0,1
20,46,205,1,1
20,46,205,1,1
20,46,102,0,0
20,47,205,1,1
20,47,205,1,1
20,47,102,1,1
20,47,205,1,1
20,47,205,1,1
20,47,205,1,1
20,47,205,1,1
20,48,205,1,1
20,48,205,1,1
20,48,214,1,1
20,48,205,1,1
20,48,205,1,1
20,48,205,1,1
20,48,205,1,1
20,49,205,1,1
20,49,205,1,1
20,49,205,1,1
20,49,205,1,1
20,49,205,1,1
20,50,205,1,1
20,50,205,1,1
20,50,205,1,1
20,50,205,1,1
20,50,205,1,1
20,50,205,1,1
20,51,205,1,1
20,51,205,1,1
20,51,205,1,1
20,51,205,1,1
20,51,205,1,1
20,51,205,1,1
20,52,205,1,1
20,52,205,1,1
20,52,205,1,1
20,52,205,1,1
20,52,205,1,1
20,53,205,1,1
20,53,205,1,1
20,53,205,1,1
20,53,205,1,1
20,53,205,1,1
20,53,205,1,1
20,54,205,1,1
20,54,205,1,1
20,54,205,1,1
20,54,205,1,1
20,54,204,1,0
20,54,208,0,1
20,54,205,1,1
20,54,203,1,1
20,54,201,0,1
20,54,107,0,0
20,54,210,0,0
20,54,106,1,0
20,54,211,1,0
20,54,104,1,1
20,55,207,1,0
20,55,204,0,0
20,55,110,0,0
20,55,102,1,0
20,55,103,0,1
20,55,204,1,1
20,55,206,0,1
20,55,108,1,1
20,55,204,0,1
20,55,107,0,0
20,55,103,1,1
20,55,101,1,0
20,55,109,0,1
20,55,102,1,1
20,55,212,0,0
20,55,107,0,1
20,55,103,1,0
20,55,210,1,1
20,55,210,1,0
20,55,214,1,1
20,55,208,1,1
20,55,210,0,0
20,55,203,1,1
20,55,205,1,1
20,55,205,1,1
20,55,205,1,1
20,55,205,1,1
20,56,205,1,1
20,56,101,1,0
20,56,203,1,1
20,56,106,0,0
20,56,211,0,1
20,56,103,0,1
20,56,214,0,1
20,56,204,0,0
20,56,206,1,1
20,56,206,0,1
20,56,214,0,1
20,56,109,1,0
20,56,104,1,1
20,56,106,0,0
20,56,111,1,0
20,56,212,0,1
20,56,108,1,1
20,56,102,1,0
20,56,205,1,1
20,56,205,1,1
20,56,205,1,1
20,56,205,1,1
20,56,205,1,1
20,57,106,0,1
20,57,108,0,0
20,57,214,0,1
20,57,105,0,0
20,57,110,1,0
20,57,205,1,1
20,57,203,1,1
20,57,102,1,1
20,57,107,0,1
20,57,205,1,1
20,57,205,1,1
20,57,205,1,1
20,57,205,1,1
20,58,205,1,1
20,58,205,1,1
